Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6665486,2018-02-20 12:21:16,2018-02-02 08:18:47,23625,9497250,23625,402,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665486.sralite.1,SRX3642538,LMAN.8.14A0011,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,8FDB54BFBE50059FC1908FC76E99CF8A,313ABC8026F79E59208A099C4BB1F28E
SRR6665487,2018-02-20 12:21:16,2018-02-02 08:19:11,508688,204492576,508688,402,110,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665487.sralite.1,SRX3642537,LMAN.8.14A0013,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,1BE35C41F3C86E05A29C9662C06D6220,CD0E8E078F5DB3D833238A3956619C2A
SRR6665488,2018-02-20 12:21:16,2018-02-02 08:19:26,856538,344328276,856538,402,188,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665488.sralite.1,SRX3642536,LMAN.8.14A0015,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,4AC102ED1A84E82C64F1BD7C57449F18,9C5D7193FC75D1871915DFA3CD72BDCC
SRR6665489,2018-02-20 12:21:16,2018-02-02 08:19:02,118159,47499918,118159,402,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665489.sralite.1,SRX3642535,LMAN.8.14A0017,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,7C260BA75D382403684BE621FB93BB4B,0741CDED3E487F278FE334019FDD6B9F
SRR6665490,2018-02-20 12:21:16,2018-02-02 08:19:20,264380,106280760,264380,402,57,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665490.sralite.1,SRX3642534,LMAN.8.14A0019,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,B1DE8BDAFF7FDF06E2E0958644EFC793,996587A8FA2B8AD2629B5A1ADD42545D
SRR6665491,2018-02-20 12:21:16,2018-02-02 08:19:11,489370,196726740,489370,402,106,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665491.sralite.1,SRX3642533,LMAN.8.14A0021,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,68A67F56966B0558E7F21032E9EA4A41,35CF60BB8B0D7A22AF9AB21694005D65
SRR6665492,2018-02-20 12:21:16,2018-02-02 08:18:46,86952,34954704,86952,402,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665492.sralite.1,SRX3642532,LMAN.8.14A0023,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,1C0ED840125645A635FD0D173515EB76,66AA6A9FAC5902DA9D633A8F36C45D4B
SRR6665493,2018-02-20 12:21:16,2018-02-02 08:18:55,311715,125309430,311715,402,67,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665493.sralite.1,SRX3642531,LMAN.8.14A0025,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,81552F96182A3DF65BAE9AC361047F35,2BC3E31ABCB3DA174E7054ADC3C565AA
SRR6665494,2018-02-20 12:21:16,2018-02-02 08:18:54,226776,91163952,226776,402,49,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665494.sralite.1,SRX3642530,LMAN.8.14A0027,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,EAFAC9FAA934FE91211416239CF3E485,0A8EA036373FC52C17AB37A8DCBF4B0C
SRR6665495,2018-02-20 12:21:16,2018-02-02 08:18:49,152640,61361280,152640,402,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665495.sralite.1,SRX3642529,LMAN.8.14A0187,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,0C89415D005DB6AC0322063FB69B8627,7D8A113D13877D84C8A885DBE2813586
SRR6665496,2018-02-20 12:21:16,2018-02-02 08:18:49,96119,38639838,96119,402,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665496.sralite.1,SRX3642528,LMAN.8.14A0186,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,287CE4A45935F42B680D8ACD0B21DD11,B15887B467EFB17EC6C582BB3832051E
SRR6665497,2018-02-20 12:21:16,2018-02-02 08:19:07,84788,34084776,84788,402,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665497.sralite.1,SRX3642527,LMAN.8.14A0201,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,FDD9749C85A04DC02FDF1BC974219564,490AEB83903EA02BC666E655F3D9B01E
SRR6665498,2018-02-20 12:21:16,2018-02-02 08:19:08,26555,10675110,26555,402,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665498.sralite.1,SRX3642526,LMAN.8.14A0199,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,6FBBB59F9F30CD7BDC5AA14300999438,D011B7D7C6F7DBC3442E50F605E6C723
SRR6665499,2018-02-20 12:21:16,2018-02-02 08:19:17,121866,48990132,121866,402,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665499.sralite.1,SRX3642525,LMAN.8.14A0197,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,066E9BA27D69AFE5AF5B9E2674ECC0A6,C5640D583357C5A3279A67FC09D2EC1E
SRR6665500,2018-02-20 12:21:16,2018-02-02 08:19:38,651475,261892950,651475,402,168,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665500.sralite.1,SRX3642524,LMAN.8.14A0195,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,72FB8654E7FDDF7D98CCC33E4D381C1E,61895198304E57EDDC09162B47A0B17F
SRR6665501,2018-02-20 12:21:16,2018-02-02 08:20:55,1254444,504286488,1254444,402,274,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665501.sralite.1,SRX3642523,LMAD.26.14A0169,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,325B690B94E06EAD6090A25707E1A53A,E2477BA3502E08E21ECDBA6E87371F51
SRR6665502,2018-02-20 12:21:16,2018-02-02 08:19:14,55913,22477026,55913,402,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665502.sralite.1,SRX3642522,LMAD.26.14A0171,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,17F485C302470FBF91B988D360B43BB2,B82186AE963D7A437FFE19C543F1378C
SRR6665503,2018-02-20 12:21:16,2018-02-02 08:19:21,115774,46541148,115774,402,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665503.sralite.1,SRX3642521,LMAD.26.14A0157,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,E0C0ADD1DD2FA236C030B48EC71E5BF5,9A2AFEE5F836C06E2C41E0959DF26826
SRR6665504,2018-02-20 12:21:16,2018-02-02 08:19:22,53944,21685488,53944,402,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665504.sralite.1,SRX3642520,LMAD.26.14A0167,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,662AC5953EC1D7C432C1EDBF659DC460,0EB81913E294E288961736561A1A05DE
SRR6665505,2018-02-20 12:21:16,2018-02-02 08:19:06,4090,1644180,4090,402,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665505.sralite.1,SRX3642519,LMAD.26.14A0193,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,461B26F4B4DD6D1D328078396D1D5B81,7B496FC6DBCDC766685AC36A755B8749
SRR6665506,2018-02-20 12:21:16,2018-02-02 08:19:18,33255,13368510,33255,402,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665506.sralite.1,SRX3642518,LMAD.26.14A0209,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,F9F609DF84A9CA66186FD75AC28DCDE9,B831CDEF06E5A72031BD1560A1AFE4EF
SRR6665507,2018-02-20 12:21:16,2018-02-02 08:19:19,6951,2794302,6951,402,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665507.sralite.1,SRX3642517,LMAD.26.14A0185,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,CD5211089C92398271E3005BD2FE0A61,DEBBFD9AFDFA8F8A20A2D354F0C96484
SRR6665508,2018-02-20 12:21:16,2018-02-02 08:19:29,42668,17152536,42668,402,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665508.sralite.1,SRX3642516,LMAD.26.14A0186,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,D51FDFFDBD9EAECC44C1828175D26EB7,8260BD4C08990DB3065966AE9C555EFA
SRR6665509,2018-02-20 12:21:16,2018-02-02 08:19:29,33337,13401474,33337,402,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665509.sralite.1,SRX3642515,LMAD.26.14A0211,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,C77ECB5D6D2C066DB9066088EB12BDB7,EF7BC172DD8A44827911FB0D9C46C3D7
SRR6665510,2018-02-20 12:21:16,2018-02-02 08:19:29,61975,24913950,61975,402,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665510.sralite.1,SRX3642514,LMAD.26.14A0215,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,AE80EF62FDED9E18B8F6F19B16655607,FBDD1547D1AD0AB9A6DA0D54F0C16BF4
SRR6665511,2018-02-20 12:21:16,2018-02-02 08:19:17,3583,1440366,3583,402,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665511.sralite.1,SRX3642513,LMAD.8.14A0227,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,EE709B1009879F3E6520FF046096A306,2829510884BAF87046866DCFA61D6E19
SRR6665512,2018-02-20 12:21:16,2018-02-02 08:19:45,393222,158075244,393222,402,86,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665512.sralite.1,SRX3642512,LMAD.8.14A0225,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,8176563C26C55BA1360E0D645A009493,4F3F4A87FE665EFD34D84F96D5D2D413
SRR6665513,2018-02-20 12:21:16,2018-02-02 08:20:33,1163488,467722176,1163488,402,250,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665513.sralite.1,SRX3642511,LMAD.8.14A0219,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,CA4356BED5CF0003F6D057787E9D8DA6,4D4929742D52321D887A9BB19AF95B91
SRR6665514,2018-02-20 12:21:16,2018-02-02 08:20:03,460777,185232354,460777,402,100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665514.sralite.1,SRX3642510,LMAD.8.14A0217,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,5C32A5019F9D8FF273B685F588E058A8,7B0F92F09977FC0A23ACDE85398D05E4
SRR6665515,2018-02-20 12:21:16,2018-02-02 08:20:25,893286,359100972,893286,402,194,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665515.sralite.1,SRX3642509,LMAD.8.14A0213,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,688F4C1789911D8D058983E74A71E747,A6C2F77F7CB125AF8D8C2D2CBDB72A9B
